Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
55014-66048,SF,Brandon,Brandon Ingram,Ingram,39.50333252,30,8000,DET@NO,NO,DET,,,
55014-145485,PG,LaMelo,LaMelo Ball,Ball,34.15333252,30,7800,CHA@PHO,CHA,PHO,,,
55014-58460,SG,Devin,Devin Booker,Booker,35.40769137,26,7700,CHA@PHO,PHO,CHA,,,
55014-80821,C,Jarrett,Jarrett Allen,Allen,32.09999921,31,7600,HOU@CLE,CLE,HOU,,,
55014-9714,SG,DeMar,DeMar DeRozan,DeRozan,37.72,25,7600,SA@OKC,SA,OKC,O,Personal,
55014-67708,PG,Dejounte,Dejounte Murray,Murray,34.5481477,27,7500,SA@OKC,SA,OKC,,,
55014-84680,SG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,40.11199951,25,7500,SA@OKC,OKC,SA,,,
55014-58153,SF,Kelly,Kelly Oubre,Oubre,29.21562576,32,7500,GS@IND,GS,IND,,,
55014-9623,PG,Chris,Chris Paul,Paul,36.92068797,29,7500,CHA@PHO,PHO,CHA,,,
55014-23831,PF,Jerami,Jerami Grant,Grant,38.11290323,31,7400,DET@NO,DET,NO,,,
55014-9535,PG,Kyle,Kyle Lowry,Lowry,34.94,25,7400,TOR@MIA,TOR,MIA,GTD,Ankle,
55014-15684,SG,Victor,Victor Oladipo,Oladipo,35.28999939,20,7400,HOU@CLE,HOU,CLE,GTD,Foot,
55014-42677,SG,Terry,Terry Rozier,Rozier,33.48214286,28,7300,CHA@PHO,CHA,PHO,,,
55014-58312,SG,D'Angelo,D'Angelo Russell,Russell,32.04500122,20,7200,MIN@CHI,MIN,CHI,O,Knee,
55014-12366,SF,Gordon,Gordon Hayward,Hayward,36.71071516,28,7100,CHA@PHO,CHA,PHO,GTD,Hand,
55014-15590,C,Mason,Mason Plumlee,Plumlee,29.19999958,29,7000,DET@NO,DET,NO,,,
55014-80806,PG,Lonzo,Lonzo Ball,Ball,30.33333333,27,7000,DET@NO,NO,DET,,,
55014-84667,SG,Collin,Collin Sexton,Sexton,33.16296387,27,6900,HOU@CLE,CLE,HOU,,,
55014-66236,PF,John,John Collins,Collins,31.60645122,31,6800,BOS@ATL,ATL,BOS,GTD,Concussion,
55014-58253,C,Myles,Myles Turner,Turner,34.88518609,27,6700,GS@IND,IND,GS,,,
55014-145576,PF,Jae'Sean,Jae'Sean Tate,Tate,22.31034483,29,6600,HOU@CLE,HOU,CLE,,,
55014-14507,PG,Kemba,Kemba Walker,Walker,29.88125038,16,6600,BOS@ATL,BOS,ATL,,,
55014-9666,PF,Thaddeus,Thaddeus Young,Young,28.70384568,26,6600,MIN@CHI,CHI,MIN,,,
55014-49116,SG,Andrew,Andrew Wiggins,Wiggins,30.45000076,32,6600,GS@IND,GS,IND,,,
55014-15860,PF,Draymond,Draymond Green,Green,28.2925935,27,6600,GS@IND,GS,IND,,,
55014-66064,SF,Malik,Malik Beasley,Beasley,31.25625038,32,6500,MIN@CHI,MIN,CHI,,,
55014-68203,PF,Chris,Chris Boucher,Boucher,29.37187576,32,6500,TOR@MIA,TOR,MIA,,,
55014-16293,SG,Norman,Norman Powell,Powell,25.70666707,30,6500,TOR@MIA,TOR,MIA,,,
55014-12362,C,DeMarcus,DeMarcus Cousins,Cousins,25.52800049,25,6400,HOU@CLE,HOU,CLE,GTD,Heel,
55014-84673,C,Deandre,Deandre Ayton,Ayton,32.96333415,30,6400,CHA@PHO,PHO,CHA,,,
55014-40830,PG,Delon,Delon Wright,Wright,28.17586123,29,6300,DET@NO,DET,NO,O,Groin,
55014-58378,C,Jakob,Jakob Poeltl,Poeltl,22.51111066,27,6200,SA@OKC,SA,OKC,,,
55014-23776,C,Montrezl,Montrezl Harrell,Harrell,26.11562538,32,6200,LAL@UTA,LAL,UTA,,,
55014-9453,C,Al,Al Horford,Horford,32.13333275,21,6100,SA@OKC,OKC,SA,,,
55014-110312,SG,Tyler,Tyler Herro,Herro,30.08181763,22,6000,TOR@MIA,MIA,TOR,GTD,Hip,
55014-23670,SG,Marcus,Marcus Smart,Smart,30.75882497,17,5900,BOS@ATL,BOS,ATL,O,Calf,
55014-110342,PG,Darius,Darius Garland,Garland,28.29583232,24,5900,HOU@CLE,CLE,HOU,,,
55014-18393,PG,T.J.,T.J. McConnell,McConnell,24.32307786,26,5900,GS@IND,IND,GS,,,
55014-110637,PF,Darius,Darius Bazley,Bazley,24.75161251,31,5800,SA@OKC,OKC,SA,,,
55014-20640,SG,Jordan,Jordan Clarkson,Clarkson,28.12580724,31,5800,LAL@UTA,UTA,LAL,,,
55014-145321,SG,Anthony,Anthony Edwards,Edwards,23.99374962,32,5800,MIN@CHI,MIN,CHI,,,
55014-58377,PF,Kyle,Kyle Kuzma,Kuzma,22.15937424,32,5700,LAL@UTA,LAL,UTA,GTD,Back,
55014-9874,PF,Kevin,Kevin Love,Love,20.45000076,2,5700,HOU@CLE,CLE,HOU,O,Calf,
55014-110326,PG,Coby,Coby White,White,28.63000081,30,5700,MIN@CHI,CHI,MIN,,,
55014-40201,PG,Dennis,Dennis Schroder,Schroder,26.25862069,29,5700,LAL@UTA,LAL,UTA,O,Covid-19,
55014-20992,SF,Larry,Larry Nance,Nance,28.17368357,19,5600,HOU@CLE,CLE,HOU,O,Finger,
55014-14530,SF,Bojan,Bojan Bogdanovic,Bogdanovic,22.99032297,31,5600,LAL@UTA,UTA,LAL,,,
55014-110352,PF,P.J.,P.J. Washington,Washington,28.25,26,5600,CHA@PHO,CHA,PHO,,,
55014-9575,PG,Mike,Mike Conley,Conley,31.62800049,25,5600,LAL@UTA,UTA,LAL,,,
55014-101329,PG,Kendrick,Kendrick Nunn,Nunn,25.16956628,23,5600,TOR@MIA,MIA,TOR,,,
55014-9688,PF,LaMarcus,LaMarcus Aldridge,Aldridge,25.17222256,18,5600,SA@OKC,SA,OKC,GTD,Hip,
55014-68090,SF,OG,OG Anunoby,Anunoby,28.81428455,21,5600,TOR@MIA,TOR,MIA,,,
55014-84670,SF,Mikal,Mikal Bridges,Bridges,27.41999919,30,5500,CHA@PHO,PHO,CHA,,,
55014-110347,SF,Keldon,Keldon Johnson,Johnson,28.63333243,27,5500,SA@OKC,SA,OKC,O,Covid-19,
55014-80812,PF,Lauri,Lauri Markkanen,Markkanen,29,14,5500,MIN@CHI,CHI,MIN,O,Shoulder,
55014-23169,C,Steven,Steven Adams,Adams,24.73333288,27,5400,DET@NO,NO,DET,GTD,Ankle,
55014-63126,SF,Cedi,Cedi Osman,Osman,21.50625038,32,5400,HOU@CLE,CLE,HOU,,,
55014-84676,C,Wendell,Wendell Carter,Carter,28.22105327,19,5400,MIN@CHI,CHI,MIN,,,
