Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
55014-37931,C,Aron,Aron Baynes,Baynes,14.61034525,29,4000,TOR@MIA,TOR,MIA,,,
55014-58461,PF,Trey,Trey Lyles,Lyles,7.935714177,14,4000,SA@OKC,SA,OKC,,,
55014-9455,PG,Rajon,Rajon Rondo,Rondo,12.5,15,4000,BOS@ATL,ATL,BOS,,,
55014-110323,C,Eric,Eric Paschall,Paschall,16.13448255,29,4000,GS@IND,GS,IND,,,
55014-110333,SF,Jarrett,Jarrett Culver,Culver,17.40625,16,4000,MIN@CHI,MIN,CHI,GTD,Ankle,
55014-55056,PF,Dario,Dario Saric,Saric,18.89230816,13,4000,CHA@PHO,PHO,CHA,,,
55014-145307,PF,Isaiah,Isaiah Stewart,Stewart,16.01724138,29,4000,DET@NO,DET,NO,,,
55014-48567,PG,Cameron,Cameron Payne,Payne,15.97368421,19,4000,CHA@PHO,PHO,CHA,,,
55014-23097,PG,Tomas,Tomas Satoransky,Satoransky,17.75789442,19,3900,MIN@CHI,CHI,MIN,,,
55014-16448,PF,Frank,Frank Kaminsky,Kaminsky,16.11304374,23,3900,CHA@PHO,PHO,CHA,,,
55014-58576,C,Kevon,Kevon Looney,Looney,12.68636391,22,3900,GS@IND,GS,IND,,,
55014-9956,SG,Wayne,Wayne Ellington,Ellington,15.75652147,23,3900,DET@NO,DET,NO,,,
55014-110317,PG,Jaylen,Jaylen Nowell,Nowell,13.47222222,18,3900,MIN@CHI,MIN,CHI,,,
55014-110337,SG,Talen,Talen Horton-Tucker,Horton-Tucker,15.13571385,28,3900,LAL@UTA,LAL,UTA,,,
55014-40262,PG,Sterling,Sterling Brown,Brown,18,27,3900,HOU@CLE,HOU,CLE,,,
55014-16790,PG,Brad,Brad Wanamaker,Wanamaker,12.88437462,32,3900,GS@IND,GS,IND,,,
55014-145335,PG,Payton,Payton Pritchard,Pritchard,14.74800049,25,3900,BOS@ATL,BOS,ATL,,,
55014-145333,SG,Aaron,Aaron Nesmith,Nesmith,8.293749809,16,3900,BOS@ATL,BOS,ATL,,,
55014-117289,PF,Juwan,Juwan Morgan,Morgan,3.238461421,13,3800,LAL@UTA,UTA,LAL,,,
55014-9939,PG,Patty,Patty Mills,Mills,20.69259304,27,3800,SA@OKC,SA,OKC,,,
55014-9446,PG,Jeff,Jeff Teague,Teague,12.49565191,23,3800,BOS@ATL,BOS,ATL,,,
55014-110316,SF,Cameron,Cameron Johnson,Johnson,19.19666748,30,3800,CHA@PHO,PHO,CHA,,,
55014-23802,PG,Kris,Kris Dunn,Dunn,22.38627355,51,3800,BOS@ATL,ATL,BOS,GTD,Ankle,
55014-9538,SF,Trevor,Trevor Ariza,Ariza,19.82452738,53,3800,SA@OKC,OKC,SA,O,Personal,
55014-145319,PF,Jaden,Jaden McDaniels,McDaniels,14.60000023,26,3800,MIN@CHI,MIN,CHI,,,
55014-145316,PG,Kira,Kira Lewis,Lewis,10.35263142,19,3800,DET@NO,NO,DET,,,
55014-24546,SF,Denzel,Denzel Valentine,Valentine,16.72307645,26,3800,MIN@CHI,CHI,MIN,,,
55014-9799,SG,Wesley,Wesley Matthews,Matthews,10.86800049,25,3700,LAL@UTA,LAL,UTA,,,
55014-145489,PG,Killian,Killian Hayes,Hayes,9.728571211,7,3700,DET@NO,DET,NO,O,Hip,
55014-145533,SF,Kenyon,Kenyon Martin,Martin,9.685714722,7,3700,HOU@CLE,HOU,CLE,,,
55014-70822,PF,Juancho,Juancho Hernangomez,Hernangomez,13.55333354,15,3700,MIN@CHI,MIN,CHI,,,
55014-110322,PG,Jordan,Jordan Poole,Poole,8.740000407,15,3700,GS@IND,GS,IND,,,
55014-110325,PF,Daniel,Daniel Gafford,Gafford,13.85599976,25,3700,MIN@CHI,CHI,MIN,,,
55014-110345,SF,Kevin,Kevin Porter,Porter,18.85800049,50,3700,HOU@CLE,HOU,CLE,,,
55014-15636,SG,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,15.96785736,28,3700,LAL@UTA,LAL,UTA,,,
